name	location	foodCategory	detailStyle	mainIngredient	description	keywordTags	signatureMenus	menuDescription
희옥	서대문구	CLEAR_SOUP	SHIO	CHICKEN	깔끔하고 섬세한 닭 육수 베이스의 시오라멘 전문점입니다.	#닭육수 #시오라멘 #깔끔함	시오라멘	맑고 깔끔한 닭 청탕 육수에 수비드 닭가슴살과 멘마가 어우러진 시그니처 메뉴입니다.
소바하우스 멘야준	마포구	CLEAR_SOUP	SHOYU	CHICKEN	수준 높은 자가제면과 향긋한 쇼유의 밸런스가 완벽한 곳입니다.	#자가제면 #쇼유라멘 #완벽밸런스	쇼유라멘	자가제면한 면발과 은은한 간장의 풍미가 조화로운 클래식한 라멘입니다.
하쿠텐	마포구	RICH_SOUP	IEKEI	PORK	서울에서 가장 정통에 가까운 이에케 라멘을 선보이는 곳입니다.	#이에케라멘 #짭짤함 #밥도둑	이에케 라멘	진하고 짭짤한 돈코츠 쇼유 육수에 시금치와 김을 곁들여 밥과 함께 먹기 좋은 스타일입니다.
가솔린앤로지스	부산진구	RICH_SOUP	JIRO	SEAFOOD	부산 서면의 숨은 라멘 강자로 파괴적인 하드코어 라멘을 파는 곳입니다.	#지로계 #하드코어 #어패류베이스	세아부라 소바	어패류 베이스의 진한 육수와 두꺼운 면발, 폭발적인 기름진 맛이 특징입니다.
진세이라멘	마포구	TSUKEMEN	STANDARD	SEAFOOD	니보시(멸치) 베이스의 츠케멘이 매력적인 합정동의 숨은 강자입니다.	#니보시츠케멘 #멸치풍미 #쫄깃한면	니보시 츠케멘	멸치 베이스의 걸쭉한 타래에 쫄깃한 굵은 면을 찍어 먹는 매력적인 츠케멘입니다.
오레노 라멘	마포구	RICH_SOUP	TORI_PAITAN	CHICKEN	미쉐린에 빛나는 토리파이탄의 교과서입니다. 거품이 덮인 크리미한 국물이 일품입니다.	#미쉐린 #토리파이탄 #크리미함	토리파이탄	닭을 진하게 우려낸 크리미한 백탕 육수와 부드러운 닭가슴살 차슈가 일품입니다.
566라멘	마포구	RICH_SOUP	JIRO	PORK	압도적인 양의 숙주와 기름이 폭발하는 지로계 라멘의 성지입니다.	#지로계 #숙주폭탄 #매니아성지	지로라멘	돼지 등지방과 산더미처럼 쌓인 숙주, 두툼한 차슈가 특징인 하드코어 라멘입니다.
이리에 라멘	마포구	CLEAR_SOUP	SHIO	SEAFOOD	도미를 진하게 우려낸 맑고 깊은 바다의 감칠맛이 일품입니다.	#도미시오라멘 #맑은육수 #바다풍미	도미 시오라멘	도미뼈를 우려낸 맑고 시원한 육수에 향긋한 유자 풍미를 더했습니다.
멘큐단	안양 동안구	CLEAR_SOUP	STANDARD	CHICKEN	정석적인 닭 육수 청탕(시오, 쇼유)을 매우 깔끔하게 뽑아내는 곳입니다.	#닭육수 #청탕 #깔끔한맛	쇼유라멘	군더더기 없이 깔끔한 닭 청탕 육수와 간장의 감칠맛이 돋보이는 라멘입니다.
멘타미 (미소라멘)	용산구	RICH_SOUP	MISO	PORK	진한 된장 풍미와 불향이 살아있는 삿포로식 미소라멘 전문점입니다.	#삿포로식미소 #불향 #진한된장	미소라멘	웍에서 불맛 나게 볶은 야채와 진하고 구수한 삿포로식 된장 베이스가 특징입니다.
