name	exactAddress	ambiance	signatureMenu	menuFeatures	positiveReviews	negativeReview	reviewLinks	waitingSystem	hasPlugs	parkingInfo	hasDecaf	isLargeCafe	isPetFriendly	comparisons	latitude	longitude
더티트렁크	경기 파주시 지목로 114	공장형 빈티지, 압도적인 규모의 인생샷 포토존, 왁자지껄한 분위기	더티블랙라떼, 내슈빌 치킨버거	자극적이고 풍성한 비주얼의 미국식 브런치와 거친 텍스처의 시그니처 커피	공간이 주는 압도감이 엄청납니다|어디서 찍어도 사진이 잘 나와요|빵과 브런치 양이 푸짐해요	주말에는 사람이 너무 많아서 대화하기 힘들 정도로 시끄럽습니다.	https://blog.naver.com/dirty|https://youtube.com/dirty	주말 피크타임 자리 눈치게임 필수	False	전용 대형 주차장 완비 (주차 요원 안내)	True	True	False	
테라로사 서종점	경기 양평군 서종면 북한강로 992	북한강 뷰, 높은 층고와 붉은 벽돌의 따뜻한 분위기, 핸드드립 전문	오늘의 드립커피, 까눌레	다양한 산지의 스페셜티 원두를 직접 로스팅하여 신선한 드립 커피 제공	커피 맛은 의심할 여지가 없습니다|계단식 좌석에서 책 읽기 좋아요|드라이브 코스로 완벽합니다	유명세만큼 주말 주차 진입이 상당히 오래 걸립니다.	https://blog.naver.com/terarosa	대기표 발권 후 웨이팅 (주말 30분 이상)	False	제1~3 전용 주차장 구비	True	True	True	나인블럭|커피 맛|테라로사 쪽이 산미 있는 스페셜티 원두 라인업이 훨씬 다양함
앤트러사이트 합정	서울 마포구 토정로5길 10	폐공장을 개조한 인더스트리얼 인테리어, 집중하기 좋은 약간의 어두움	나쓰메 소세키 (블렌드), 버터 팻 트리오	묵직하고 다크한 원두부터 산뜻한 과일향까지 문학 작가 이름의 블렌딩 원두	노트북 작업하거나 책 읽기 최고의 분위기|공간이 넓고 좌석 간격이 넉넉합니다|커피 향이 공간을 가득 채워요	의자와 테이블 높낮이가 안 맞는 자리가 많아 오래 앉아있기 불편합니다.	https://youtube.com/anthracite	주말 오후 시간대 일시적 만석	True	매장 앞 3~4대 협소 (인근 공영주차장 이용 권장)	True	False	False	
카멜커피 도산	서울 강남구 도산대로45길 16-8	유럽 빈티지 감성, 아담하고 따뜻한 색감, 인스타그래머블	카멜커피(아인슈패너), 앙버터	진한 에스프레소 위에 달콤하고 쫀쫀한 우유 크림이 올라간 시그니처 크림 커피	크림과 커피의 밸런스가 기가 막힙니다|매장 곳곳의 빈티지 가구들이 너무 예뻐요|앙버터 빵이 바삭하고 버터 풍미가 좋아요	매장이 좁고 대기가 너무 길어서 여유롭게 즐기기 어렵습니다.	https://blog.naver.com/camel	테이블링 원격 줄서기 필수 (대기 1~2시간)	False	발렛파킹 가능	False	False	True	하프커피|크림 텍스처|하프커피(버터크림)보다 카멜커피가 조금 더 묽고 커피향이 진함
모아니	경기 성남시 분당구 윷골길 116	산자락에 위치한 자연 친화적 뷰, 통창, 깔끔하고 모던한 건축물	바닐라 빈 라떼, 소금빵	수제 바닐라 빈 시럽을 사용해 고급스러운 단맛을 낸 라떼와 담백한 베이커리	숲 속에 온 듯한 뷰가 힐링 그 자체입니다|건축물이 갤러리처럼 아름다워요|테라스석 분위기가 최고입니다	산길을 꽤 올라가야 하고, 가격대가 전반적으로 매우 높습니다. (노키즈존 운영)	https://youtube.com/moani	주말 웨이팅 시스템 등록	False	자체 주차장 (결제 금액에 따라 무료 시간 다름)	True	True	False	
카페 진정성 본점	경기 김포시 하성면 하성로 660	모던하고 미니멀한 건축물, 잔디밭, 통창 너머 한적한 풍경	오리지널 골드 밀크티, 티라미수	홍차잎을 100% 우유로 냉침해 끓여낸 묵직하고 덜 단 진짜 밀크티	밀크티의 깊은 맛은 여기가 전국 1등입니다|공간이 넓고 자연과 어우러져 여유롭습니다|병 밀크티 포장해가기 좋아요	대중교통으로 접근이 불가능에 가까운 위치입니다.	https://blog.naver.com/jinjung	테이크아웃은 바로 가능, 착석은 눈치게임	False	제1~2 주차장 완비 (주차 공간 넉넉함)	False	True	False	클로리스|밀크티 맛|클로리스보다 단맛이 적고 우유의 묵직함이 강함
블루보틀 성수	서울 성동구 아차산로 7	노출 콘크리트 미니멀리즘, 채광이 좋은 통창, 바리스타와 소통하는 열린 바	놀라 플로트 (아이스크림 커피), 드립 커피	유기농 우유 아이스크림을 올린 뉴올리언스 스타일 아이스 커피	커피 맛이 아주 부드럽고 깔끔합니다|굿즈(MD)가 너무 예뻐서 사고 싶어져요|바리스타분들이 아주 친절합니다	의자가 딱딱하고 등받이가 없어 오래 앉아있기 힘든 디자인입니다.	https://youtube.com/bluebottle	오픈 직후 제외하면 웨이팅 거의 없음	False	주차 불가 (인근 유료주차장 이용)	True	False	True	
카페 레이어드 안국	서울 종로구 북촌로2길 2-3	영국식 스콘과 케이크가 쌓여있는 엔틱 감성, 한옥 천장을 살린 인테리어	크랜베리 크림치즈 스콘, 얼그레이 밀크티	묵직하고 버터 향이 강한 영국식 투박한 스콘과 진한 크림 케이크들	스콘 종류가 정말 다양하고 맛있습니다|영국 가정집 분위기가 물씬 납니다|한옥과 유럽 감성의 조화가 독특해요	매장이 협소하고 좌석이 다닥다닥 붙어있어 쾌적하지 않습니다.	https://blog.naver.com/layered	상시 웨이팅 (캐치테이블/테이블링 없음, 현장 대기)	False	주차 불가	False	False	False	스코프|스콘 식감|레이어드 스콘이 좀 더 부드럽고 수분감이 있는 편
나인블럭 기흥점	경기 용인시 기흥구 공세로 34	어둡고 넓은 인더스트리얼 창고형, 가죽 쇼파, 웅장한 사운드	나인블럭 블렌드 아메리카노, 몽블랑 페이스트리	산미를 줄이고 고소함과 바디감을 강조한 다크 로스팅 커피	테이블이 큼직하고 소파가 편안해 작업하거나 대화하기 좋습니다|주차가 매우 편합니다|빵 퀄리티도 준수해요	커피와 베이커리 가격이 다소 비싼 편입니다.	https://youtube.com/9block	매장이 커서 대기 거의 없음	True	전용 대형 주차장 완비 (무료)	True	True	False	
나무사이로	서울 종로구 사직로8길 21	전통 한옥의 고즈넉함과 서까래, 중정이 있는 차분한 분위기	디카페인 아메리카노(풍선껌 향), 드립 커피	국내 1세대 스페셜티 로스터리의 철학이 담긴 화사하고 다채로운 원두 라인업	디카페인 커피 중 가장 향긋하고 맛있습니다|비 오는 날 한옥 마루에서 마시는 커피가 예술입니다|혼자 조용히 머물기 좋아요	골목 안쪽에 있어 처음 찾아갈 때 헤맬 수 있습니다.	https://blog.naver.com/namusairo	주말 만석 시 현장 대기	True	주차 불가	True	False	True	
프로퍼커피바	서울 송파구 위례성대로22길 6	동네 주민들이 사랑하는 힙하고 활기찬 우드톤 공간	헤이즐넛 라떼, 피스타치오 크루아상	기분 좋게 달콤한 시럽과 진한 샷의 조화, 수준 높은 페이스트리 베이커리	동네 카페 퀄리티를 넘어선 커피와 빵 맛입니다|라떼 폼이 정말 부드러워요|채광이 좋아 사진이 따뜻하게 나옵니다	매장이 울리는 구조라 대화 소리가 다소 웅성웅성 들립니다.	https://youtube.com/proper	주말 웨이팅 리스트 수기 작성	False	매장 앞 2~3대 가능 (협소)	True	False	True	
