name	exact_address	store_features	signature_menu	menu_features	sold_out_info	waiting_system	has_dine_in	positive_reviews	negative_review	review_links	comparisons	latitude	longitude
코끼리베이글	서울특별시 영등포구 선유로 176 1층	참나무 장작 화덕에서 구워내는 정통 화덕 베이글	버터솔트 베이글, 크림치즈 생크림 베이글	화덕에서 구워내어 겉은 질깃바삭하고 속은 떡처럼 쫄깃한 식감	오전 10~11시경 샌드위치류 외 대부분 품절	오전 8시 반 오픈 전부터 현장 줄서기 (웨이팅 극상)	true	화덕 불향이 살짝 나면서 미친듯한 쫄깃함|라떼가 베이글만큼이나 맛있음|크림치즈생크림이 달지 않아 좋음	아침 일찍 가지 않으면 기본 베이글은 구경도 못 함	https://www.youtube.com/results?search_query=코끼리베이글+오픈런	런던베이글뮤지엄|식감|런베뮤보다 밀도가 촘촘하고 정통 하드 계열에 가까운 질깃함
자연도소금빵 성수	서울특별시 성동구 연무장길 56 1층	오직 소금빵 단일 메뉴만 판매. 4개 한 세트 포장 전문	자연도 소금빵 세트	프랑스산 버터가 듬뿍 들어가 밑바닥이 튀겨지듯 바삭하고 극강의 고소함	하루 4번 빵 나오는 시간마다 한정 수량 판매 후 품절	키오스크 결제 후 번호표 대기 (줄이 길지만 회전율 빠름)	false	패키지가 너무 예뻐서 선물하기 좋음|버터동굴이 크고 밑바닥이 미친듯이 바삭함|단일메뉴라 전문성이 느껴짐	버터가 너무 많이 들어가서 2개 이상 먹으면 느끼함	https://www.instagram.com/explore/tags/자연도소금빵/	베통|기름짐|베통보다 기름기가 많고 풍미가 자극적이며 헤비한 편
과자방	서울특별시 마포구 백범로 152 1층	전문 제빵 유튜버들이 극찬하는 구움과자(마들렌, 휘낭시에) 전문점	플레인 마들렌, 소금초코 휘낭시에	겉은 빠작하고 속은 촉촉한 휘낭시에의 정석. 풍미 짙은 발효버터 사용	오후 늦게 방문 시 인기 구움과자 품절	현장 방문 (주말 오후 웨이팅 발생)	true	선물 세트로 구매하기 최고|마들렌 식감이 퍽퍽하지 않고 촉촉함|휘낭시에 얼먹하면 쫀득함이 배가 됨	구움과자 크기 대비 가격이 조금 비싼 편	https://www.youtube.com/results?search_query=마포+과자방	메종엠오|구움과자|메종엠오와 견줄 만한 퀄리티이나 조금 더 친숙하고 다양한 맛
퍼먼트	서울특별시 성동구 서울숲2길 37 1층	서울숲 나들이 필수 코스. 천연 발효종을 사용한 하드빵과 페이스트리 전문	무화과 크림치즈 바게트, 퀸아망	질기지 않은 바삭한 바게트 안에 달콤한 무화과와 크림치즈가 듬뿍	주말 오후 4시 이후 주요 빵 품절	현장 대기 (내부 취식석 경쟁 치열)	true	바게트가 입천장 안 까지고 고소함|서울숲 바로 앞이라 픽업해서 피크닉 가기 좋음|퀸아망 결이 살아있음	주말엔 사람이 너무 많고 시끄러워서 매장 내 취식이 불편함	https://search.naver.com/search.naver?query=성수+퍼먼트+오픈런	꼼다비뛰드|바게트|꼼다비뛰드보다 덜 딱딱하고 대중적으로 씹기 편한 바게트 식감
문스오븐	경기도 안산시 단원구 광덕대로 168 1층	안산 지역 웨이팅 대장 빵집. 뛰어난 가성비의 식사빵	올리브 치아바타, 크루아상	기공이 크게 열려있어 퐁신퐁신한 치아바타와 담백한 맛	오픈 후 2~3시간 내 완전 매진	오픈 전부터 현장 오픈런 줄서기 필수	false	이 가격에 이 퀄리티의 치아바타라니 갓성비|올리브가 쏟아질 듯이 들어있음|크루아상 버터 향이 좋음	평일에도 오픈런 안하면 구경조차 못해서 사기가 너무 힘듦	https://www.youtube.com/results?search_query=안산+문스오븐+오픈런	수더분|식사빵|수더분에 비해 산미가 적고 훨씬 대중적이고 부드러운 맛
안동 맘모스베이커리	경상북도 안동시 문화광장길 34	미슐랭 가이드에 소개된 전국 3대 빵집 중 하나	크림치즈빵, 유자파운드	말랑하고 쫀득한 하얀 빵 속에 진하고 새콤달콤한 크림치즈가 가득	크림치즈빵은 수시로 채워지나 주말 저녁엔 매진	현장 대기 (회전율 매우 빠름)	true	크림치즈빵 갓 나왔을 때 먹으면 눈물남|유자파운드가 선물용으로 최고|빵피가 아기 궁둥이처럼 부드러움	크림치즈빵 외에 다른 빵들은 평범한 동네 빵집 수준임	https://search.naver.com/search.naver?query=안동+맘모스베이커리+웨이팅	성심당|지역명물|성심당처럼 메뉴가 다양하진 않고 시그니처 원툴에 가까움
아베베베이커리	제주특별자치도 제주시 동문로6길 4	제주도 특산물을 넣은 크림 도넛으로 대히트를 친 전국구 핫플	우도 땅콩 크림 도넛, 오메기떡 쑥 크림빵	얇은 도넛 피 안에 떡과 제주 특산물 크림이 꽉 차 있어 묵직함	오후 늦게 일부 인기 메뉴 품절	현장 대기 (웨이팅 줄이 시장 밖까지 이어짐)	false	안에 떡이 들어있어서 쫄깃하고 배부름|크림 양이 압도적|제주 여행 선물로 최고	시장에 있어서 대기 환경이 번잡하고, 크림이 물림	https://www.instagram.com/explore/tags/아베베베이커리/	노티드도넛|도넛|노티드에 비해 훨씬 크기가 크고, 떡이 들어있어 쫀득하며 한국적인 맛
런던베이글뮤지엄 도산점	서울특별시 강남구 언주로168길 33 1, 2층	영국 감성의 베이글 전문점, 엄청난 대기열과 사진 찍기 좋은 인테리어	쪽파 갈릭 크림치즈 베이글, 감자 치즈 베이글	정통 베이글보다는 한국식으로 쫄깃하고 부드럽게 재해석된 식감	오후 4시 이후 대부분의 베이글 품절	캐치테이블 원격 줄서기 (웨이팅 난이도 최상)	true	베이글이 질기지 않고 떡처럼 쫄깃해서 맛있어요|매장 컨셉이 독보적입니다|크림치즈가 풍성해요	정통 베이글 매니아들에게는 너무 달고 빵 같은 식감일 수 있어요	https://www.youtube.com/results?search_query=런던베이글뮤지엄+오픈런	코끼리베이글|대중성|코끼리베이글보다 대중적이고 달콤한 디저트 느낌이 강함
메종엠오	서울특별시 서초구 방배로26길 22 1층	국내 최고 수준의 프랑스 정통 구움과자 및 파티스리	마들렌, 몽블랑	섬세하고 우아한 식감과 완벽한 밸런스를 자랑하는 하이엔드 디저트	오전 방문하지 않으면 인기 갸또와 마들렌 품절	오픈 전 현장 줄서기	true	마들렌의 배꼽과 촉촉함이 완벽합니다|디저트 하나하나가 예술작품 같아요|은은한 향이 고급스러워요	가격대가 꽤 높은 편입니다	https://search.naver.com/search.naver?query=방배동+메종엠오	과자방|섬세함|과자방보다 향신료와 재료의 레이어가 더 복합적이고 섬세함
이성당	전북특별자치도 군산시 중앙로 177	대한민국 현존 가장 오래된 빵집 (1945년 오픈)	단팥빵, 야채빵	얇은 쌀가루 빵피 안에 팥앙금과 아삭한 채소가 가득 들어간 클래식	하루 종일 빵이 나오나, 주말 오후 늦게는 품절	단팥빵/야채빵 전용 대기줄 운용 (현장 대기)	true	야채빵의 아삭거리는 식감이 중독성 있어요|세월이 지나도 변하지 않는 추억의 맛|쌀빵이라 소화가 잘 돼요	줄이 너무 길어서 빵 사는 데만 한참 걸립니다	https://www.youtube.com/results?search_query=군산+이성당	성심당|역사/클래식|성심당(튀소)에 비해 훨씬 담백하고 기름기 없는 전통적인 맛
카페 노티드 청담	서울특별시 강남구 도산대로53길 15 1층	대한민국 프리미엄 도넛 열풍을 일으킨 주역	우유 생크림 도넛, 클래식 바닐라 도넛	입에서 사르르 녹는 폭신한 빵피와 전혀 느끼하지 않은 산뜻한 크림	주말 늦은 오후 인기 도넛 품절	현장 방문 및 카카오톡 예약 픽업	true	우유 크림이 하나도 안 달고 너무 부드러워요|패키지가 귀여워서 선물하기 좋습니다|빵피가 구름 같아요	예전만큼 줄 서서 먹을 특별한 맛은 아닌 것 같아요	https://www.youtube.com/results?search_query=노티드도넛	아베베베이커리|도넛|아베베에 비해 크림이 가볍고 서양식 오리지널 도넛 식감에 가까움
소울브레드	서울 서초구 바우뫼로7길 27	무반죽법과 천연 발효종을 사용해 손으로 직접 반죽하는 사워도우 전문점. 글루텐을 최소화해 소화가 잘됨.	생크치 (생크림+크림치즈 샌드위치)	제철 과일과 크림치즈의 조화, 단단하고 고소한 치아바타/프레즐과 크림의 궁합. 와사비 크림치즈 바게트 샌드위치도 인기.	당일 재료 소진 시 조기 마감 (예약 권장)	생크치는 현장 제작으로 주문 후 대기 발생, 인기 많아 오픈런 권장. 예약 가능.	false	빵이 소화가 잘되고 먹고 나서 속이 편안해요|생크치 크림치즈가 전혀 달지 않고 원재료 맛이 진해요|무반죽 빵의 쫄깃하고 담백한 식감이 예술입니다	예약하지 않으면 빵을 사기가 매우 어렵고 대기 시간이 길 수 있습니다.	https://blog.naver.com/kjna2000|https://blog.naver.com/abnom|https://blog.naver.com/lnovek2014	안동 맘모스베이커리|크림치즈|맘모스의 크림치즈빵은 부드러운 빵피와 달콤한 맛인 반면, 소울브레드의 생크치는 하드빵과 원물 본연의 진한 치즈 맛에 집중함	37.4713585	127.0242925
